brightness,contrast,saturation,color_uniformity,warm_ratio,transparency,dark_ratio,edge_density,edge_intensity,texture_roughness,smoothness,entropy,edge_entropy,channel_variance,highlights,category,filename
130.99,48.23,0.1923,0.2476,0.1984,0.0215,0.0588,28.35,57.78,50.8,25.61,5.2345,2.4725,6.91,0.0038,plastic,20260408_173906_a0.jpg
131.0,48.23,0.1928,0.2469,0.1962,0.0215,0.059,28.35,57.78,50.8,26.06,5.2344,2.4713,6.86,0.0038,plastic,20260408_173906_a1.jpg
130.98,44.09,0.1793,0.2294,0.1976,0.0132,0.0343,12.21,29.57,44.66,14.95,5.1639,1.7809,6.81,0.0017,plastic,20260408_173906_a10.jpg
132.89,45.34,0.1898,0.2458,0.0743,0.0192,0.0574,27.8,56.9,47.98,25.09,5.2069,2.4727,6.52,0.0027,plastic,20260408_173906_a11.jpg
131.01,48.25,0.0,0.0,0.0,0.0211,0.0583,28.35,57.78,50.8,25.63,5.2323,2.4715,0.0,0.0039,plastic,20260408_173906_a12.jpg
140.89,46.28,0.3247,0.2272,0.867,0.0291,0.0396,28.1,57.51,48.94,24.97,5.1753,2.4597,269.81,0.006,plastic,20260408_173906_a13.jpg
131.0,48.22,0.1928,0.2475,0.1973,0.0217,0.059,28.41,57.49,50.78,26.1,5.2364,2.4858,6.89,0.004,plastic,20260408_173906_a2.jpg
131.0,48.23,0.1928,0.2469,0.1962,0.0215,0.059,28.35,57.78,50.8,25.3,5.2344,2.4713,6.86,0.0038,plastic,20260408_173906_a3.jpg
116.39,59.5,0.2262,0.2981,0.1923,0.0116,0.1609,28.93,60.87,62.05,31.47,5.1775,2.3899,11.84,0.0009,plastic,20260408_173906_a4.jpg
194.89,67.44,0.1772,0.2513,0.2621,0.6234,0.0396,35.62,70.15,70.51,34.91,5.0638,2.5822,25.69,0.3044,plastic,20260408_173906_a5.jpg
58.26,21.66,0.1981,0.2536,0.1219,0.0,0.2188,13.96,31.12,22.82,16.37,4.1164,1.8991,1.35,0.0,plastic,20260408_173906_a6.jpg
134.34,66.09,0.2843,0.3532,0.2598,0.0706,0.1527,34.4,67.35,68.63,33.15,5.5286,2.5958,16.42,0.0309,plastic,20260408_173906_a7.jpg
134.03,41.09,0.1669,0.2322,0.2399,0.0121,0.0294,18.22,41.24,42.28,17.56,4.9618,2.0852,34.06,0.0008,plastic,20260408_173906_a8.jpg
130.49,48.6,0.1964,0.2512,0.1932,0.0217,0.0632,41.71,63.62,51.97,27.56,5.3266,3.1959,7.14,0.0042,plastic,20260408_173906_a9.jpg
130.07,49.88,0.2475,0.2695,0.2646,0.0187,0.0117,26.86,54.12,51.89,23.17,5.4751,2.5063,17.44,0.0014,plastic,20260408_173912_a0.jpg
130.07,49.88,0.2467,0.2695,0.2635,0.0188,0.0118,26.86,54.12,51.89,20.54,5.4742,2.5074,17.54,0.0013,plastic,20260408_173912_a1.jpg
130.1,47.06,0.2395,0.2612,0.2637,0.0085,0.0066,10.5,27.46,47.43,13.85,5.3648,1.6278,17.04,0.0001,plastic,20260408_173912_a10.jpg
130.42,53.0,0.2476,0.2711,0.1252,0.0365,0.0561,28.37,56.18,55.06,24.23,5.5699,2.5676,17.23,0.0023,plastic,20260408_173912_a11.jpg
130.08,49.91,0.0,0.0,0.0,0.0179,0.0113,26.86,54.12,51.89,23.18,5.4714,2.506,0.0,0.0016,plastic,20260408_173912_a12.jpg
114.04,45.55,0.3242,0.2809,0.2365,0.003,0.0309,24.75,50.62,47.42,21.52,5.3482,2.4365,100.5,0.0,plastic,20260408_173912_a13.jpg
130.07,49.88,0.2474,0.2694,0.2637,0.0189,0.0116,26.88,54.15,51.87,20.57,5.4781,2.5093,17.4,0.0013,plastic,20260408_173912_a2.jpg
130.07,49.88,0.2467,0.2695,0.2635,0.0188,0.0118,26.86,54.12,51.88,23.18,5.4742,2.5074,17.54,0.0013,plastic,20260408_173912_a3.jpg
108.2,66.73,0.2646,0.313,0.2276,0.0184,0.1818,27.43,57.86,68.97,28.84,5.3134,2.3838,20.61,0.0009,plastic,20260408_173912_a4.jpg
175.33,63.84,0.2362,0.2775,0.2972,0.3893,0.0042,32.52,63.22,65.75,29.09,5.3508,2.6284,37.03,0.2263,plastic,20260408_173912_a5.jpg
78.02,30.1,0.2486,0.2705,0.1837,0.0,0.1359,16.71,35.76,31.29,16.18,4.7577,2.1011,6.58,0.0,plastic,20260408_173912_a6.jpg
132.99,76.56,0.3716,0.3788,0.3127,0.2015,0.1481,34.08,66.35,78.82,33.48,5.8861,2.6535,40.18,0.0947,plastic,20260408_173912_a7.jpg
128.09,50.7,0.262,0.2752,0.3099,0.0208,0.0139,25.96,52.03,52.46,22.92,5.5036,2.5106,33.68,0.0018,plastic,20260408_173912_a8.jpg
129.74,51.7,0.266,0.2722,0.2661,0.0424,0.027,58.5,79.37,57.17,30.71,5.6447,3.3635,17.55,0.0031,plastic,20260408_173912_a9.jpg
116.72,39.62,0.3206,0.2046,0.6795,0.0104,0.0087,16.52,36.15,40.35,13.55,5.2647,2.1375,190.58,0.001,plastic,20260408_173920_a0.jpg
116.72,39.61,0.3204,0.2042,0.6785,0.0106,0.0087,16.52,36.13,40.35,13.95,5.2643,2.1376,190.31,0.001,plastic,20260408_173920_a1.jpg
116.72,38.05,0.3146,0.1951,0.6869,0.0068,0.0031,6.45,22.43,38.13,8.97,5.183,0.9659,189.87,0.0,plastic,20260408_173920_a10.jpg
109.94,45.88,0.3202,0.2048,0.0502,0.0153,0.0401,17.61,38.67,46.73,15.52,5.4138,2.1829,190.42,0.0035,plastic,20260408_173920_a11.jpg
116.71,39.61,0.0,0.0,0.0,0.0102,0.0081,16.52,36.15,40.36,13.56,5.2614,2.1372,0.0,0.0012,plastic,20260408_173920_a12.jpg
108.82,32.17,0.6528,0.187,0.9973,0.0,0.006,13.6,30.19,32.73,11.1,4.9837,1.9592,2590.28,0.0,plastic,20260408_173920_a13.jpg
116.72,39.62,0.3205,0.204,0.6788,0.0102,0.0091,16.27,35.83,40.35,13.95,5.2649,2.1214,190.07,0.0012,plastic,20260408_173920_a2.jpg
116.72,39.61,0.3204,0.2042,0.6785,0.0106,0.0087,16.52,36.13,40.35,13.58,5.2643,2.1376,190.31,0.001,plastic,20260408_173920_a3.jpg
108.53,47.19,0.353,0.25,0.6356,0.0103,0.0735,18.43,42.49,48.17,23.5,5.3044,2.1566,167.63,0.0013,plastic,20260408_173920_a4.jpg
170.15,54.04,0.3088,0.215,0.6918,0.2747,0.0005,23.09,47.59,54.92,19.55,5.4678,2.4444,449.24,0.1282,plastic,20260408_173920_a5.jpg
62.98,21.52,0.3229,0.203,0.6252,0.0,0.1844,8.71,19.66,21.91,13.08,4.4031,1.5665,56.24,0.0,plastic,20260408_173920_a6.jpg
116.64,58.72,0.4685,0.3098,0.6954,0.0748,0.1107,22.23,45.86,59.7,19.42,5.7833,2.4099,437.23,0.0148,plastic,20260408_173920_a7.jpg
114.6,39.44,0.3334,0.2234,0.6651,0.019,0.0074,14.59,31.49,40.06,12.43,5.2695,2.0296,222.03,0.0016,plastic,20260408_173920_a8.jpg
116.28,39.98,0.325,0.2064,0.6805,0.0105,0.0112,29.07,44.87,41.48,16.22,5.3128,2.9395,192.14,0.0012,plastic,20260408_173920_a9.jpg
60.92,49.94,0.6489,0.2157,0.0276,0.007,0.3868,18.02,33.35,50.91,19.82,4.6376,2.4304,473.59,0.0,plastic,20260408_173929_a0.jpg
60.92,49.93,0.6487,0.2164,0.0278,0.007,0.3865,18.03,33.36,50.92,21.75,4.6375,2.4312,473.06,0.0,plastic,20260408_173929_a1.jpg
