brightness,contrast,saturation,color_uniformity,warm_ratio,transparency,dark_ratio,edge_density,edge_intensity,texture_roughness,smoothness,entropy,edge_entropy,channel_variance,highlights,category,filename
124.8,42.26,0.2179,0.2656,0.3094,0.0124,0.0342,14.19,33.59,43.0,15.91,5.0583,1.8646,79.98,0.0013,plastic,20260408_173906_a0.jpg
124.8,42.26,0.2176,0.2655,0.3105,0.0125,0.0342,14.19,33.59,43.0,14.5,5.0581,1.8655,79.88,0.0013,plastic,20260408_173906_a1.jpg
124.8,41.84,0.2164,0.2636,0.3102,0.0118,0.0325,13.14,31.35,42.48,14.9,5.0509,1.8223,79.63,0.0007,plastic,20260408_173906_a10.jpg
124.55,40.79,0.2147,0.2606,0.3181,0.0098,0.0276,10.1,27.22,41.17,12.61,5.029,1.554,80.53,0.0,plastic,20260408_173906_a11.jpg
121.17,50.38,0.2237,0.2577,0.256,0.0131,0.0845,26.22,53.53,52.35,25.02,5.3789,2.4542,27.89,0.002,plastic,20260408_173906_a12.jpg
120.06,47.84,0.2097,0.254,0.2492,0.01,0.0785,28.32,56.34,50.27,23.27,5.3017,2.4991,31.9,0.0009,plastic,20260408_173906_a13.jpg
124.33,42.26,0.2199,0.2678,0.3075,0.0118,0.0349,18.07,34.68,43.1,16.37,5.0951,2.3944,79.01,0.0013,plastic,20260408_173906_a14.jpg
117.89,44.18,0.3415,0.273,0.2647,0.01,0.0604,14.42,33.66,44.95,16.49,5.1071,1.8892,230.43,0.0007,plastic,20260408_173906_a15.jpg
124.81,42.27,0.2178,0.2654,0.3117,0.0123,0.0342,14.21,33.67,43.0,14.49,5.0583,1.8718,79.93,0.0014,plastic,20260408_173906_a2.jpg
124.8,42.26,0.2176,0.2655,0.3105,0.0125,0.0342,14.19,33.59,43.0,15.89,5.0581,1.8655,79.88,0.0013,plastic,20260408_173906_a3.jpg
124.81,42.26,0.2181,0.2655,0.3085,0.0121,0.0344,14.21,33.67,43.0,14.51,5.0579,1.8698,79.84,0.0014,plastic,20260408_173906_a4.jpg
126.26,38.68,0.1894,0.2593,0.2537,0.0125,0.0237,16.03,36.29,39.69,14.8,4.8959,1.9636,63.21,0.0014,plastic,20260408_173906_a5.jpg
82.27,28.06,0.2218,0.2667,0.2486,0.0,0.1294,9.65,22.37,28.57,12.34,4.4838,1.5741,34.88,0.0,plastic,20260408_173906_a6.jpg
148.29,50.06,0.2171,0.2675,0.3377,0.0521,0.0284,16.72,39.37,50.89,19.44,5.2771,2.0189,116.89,0.0178,plastic,20260408_173906_a7.jpg
124.35,30.39,0.1568,0.1916,0.2588,0.001,0.0002,11.5,28.62,30.95,11.44,4.6004,1.6596,40.99,0.0,plastic,20260408_173906_a8.jpg
125.74,55.3,0.2999,0.3554,0.3688,0.0344,0.1148,17.22,40.04,56.13,20.7,5.3048,2.045,136.97,0.0132,plastic,20260408_173906_a9.jpg
122.58,46.79,0.2901,0.3054,0.4039,0.0151,0.0001,18.15,39.39,47.74,18.04,5.328,2.1512,153.2,0.0009,plastic,20260408_173912_a0.jpg
122.58,46.79,0.2899,0.3051,0.4014,0.015,0.0001,18.14,39.39,47.74,15.99,5.3284,2.1506,152.71,0.0009,plastic,20260408_173912_a1.jpg
122.58,46.26,0.2892,0.3044,0.4037,0.0123,0.0,16.02,34.84,46.99,16.16,5.3108,2.0693,153.26,0.0005,plastic,20260408_173912_a10.jpg
122.29,45.15,0.2871,0.3023,0.4042,0.0087,0.0,11.14,27.85,45.51,12.67,5.2702,1.704,153.58,0.0,plastic,20260408_173912_a11.jpg
126.73,49.19,0.2647,0.279,0.3004,0.0168,0.0128,25.22,50.63,50.94,22.54,5.4637,2.4885,33.59,0.0015,plastic,20260408_173912_a12.jpg
126.8,49.0,0.2636,0.2777,0.2993,0.0165,0.0125,25.84,51.21,50.82,22.24,5.4616,2.5361,33.35,0.0016,plastic,20260408_173912_a13.jpg
